TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,23.00,399.38,483.48,4.8032,22.35,-339.5320
100000,41.00,311.07,470.98,8.2215,21.93,-243.4720
150000,32.00,354.27,522.86,7.3417,19.09,-285.9840
200000,31.00,360.10,565.98,6.8063,22.00,-288.0020
250000,36.00,338.65,544.19,7.1188,30.47,-266.2310
300000,55.00,245.27,495.25,11.0062,27.04,-168.2450
350000,45.00,295.79,526.86,8.5012,31.53,-220.6040
400000,41.00,312.45,514.55,8.4243,25.29,-240.4950
450000,42.00,307.77,516.48,8.3653,25.74,-235.1220
500000,46.00,288.50,517.14,9.1117,26.13,-213.7860
550000,39.00,320.32,454.58,8.1904,20.51,-255.3620
600000,33.00,350.08,523.61,7.2835,21.33,-281.2190
650000,39.00,323.39,533.01,7.4565,28.38,-250.5890
700000,46.00,287.47,501.82,9.3774,23.89,-214.2880
750000,55.00,245.53,513.85,10.4276,27.51,-166.6450
800000,42.00,305.53,507.92,9.2412,20.40,-233.7380
850000,61.00,218.72,500.27,11.2110,31.21,-138.1930
900000,44.00,298.47,521.19,8.7546,26.70,-224.3510
950000,45.00,293.44,517.76,8.9833,26.31,-219.1640
1000000,35.00,340.59,491.20,7.5331,22.26,-273.9700
1050000,59.00,230.41,522.52,10.1677,34.73,-148.6580
1100000,65.00,196.98,479.22,12.3611,27.35,-116.5580
1150000,49.00,274.31,513.07,9.6191,26.92,-198.5030
1200000,53.00,256.16,510.89,10.1537,29.28,-178.5710
1250000,57.00,237.33,507.05,10.5742,30.12,-158.1250
1300000,58.00,234.23,521.93,10.4355,33.09,-153.0370
1350000,62.00,215.40,515.67,10.9643,33.61,-132.8330
1400000,51.00,265.93,527.38,9.6762,29.51,-187.6920
1450000,47.00,288.03,540.04,8.4567,35.47,-210.5260
1500000,56.00,243.58,525.03,10.0026,32.68,-163.0770
1550000,54.00,252.57,511.46,10.1064,31.57,-174.4240
1600000,58.00,234.61,526.81,10.1371,33.74,-152.9290
1650000,52.00,258.79,498.93,10.3754,25.06,-182.8970
1700000,53.00,256.72,508.84,9.0982,30.34,-179.3360
1750000,50.00,269.50,517.69,9.6063,27.00,-192.7310
1800000,47.00,283.91,517.18,9.1744,26.70,-208.6920
1850000,53.00,255.96,515.97,10.0309,28.91,-177.8630
1900000,52.00,263.03,525.80,9.2605,33.21,-184.4500
1950000,44.00,298.59,529.46,8.5500,26.98,-223.6440
2000000,53.00,255.83,508.02,10.1723,28.66,-178.5280
2050000,62.00,213.99,512.92,11.1656,31.34,-131.6980
2100000,55.00,245.98,506.40,10.5269,28.33,-167.8400
2150000,58.00,233.68,518.34,10.5527,32.14,-152.8460
2200000,59.00,227.93,520.14,10.8727,30.53,-146.4160
2250000,50.00,270.11,530.41,9.6916,28.22,-192.0690
2300000,52.00,261.63,518.83,9.7625,30.52,-183.7470
2350000,64.00,203.92,510.43,11.6194,30.62,-120.8770
2400000,57.00,239.75,524.53,10.1908,34.37,-158.7970
2450000,55.00,247.19,522.93,10.4475,30.53,-167.3970
2500000,61.00,220.90,535.64,10.8115,34.79,-136.8360
2550000,59.00,228.11,526.44,10.9384,30.83,-145.9660
2600000,56.00,240.42,513.32,10.6318,27.04,-161.0880
