TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,10.00,923.91,269.10,1.1281,23.10,-892.0000
100000,1.00,1013.84,88.32,0.1917,8.00,-1004.5080
150000,0.00,1024.00,55.05,0.0538,0.00,-1018.4950
200000,0.00,1024.00,60.00,0.0586,0.00,-1018.0000
250000,0.00,1024.00,55.00,0.0537,0.00,-1018.5000
300000,0.00,1024.00,55.00,0.0537,0.00,-1018.5000
350000,0.00,1024.00,55.00,0.0537,0.00,-1018.5000
400000,0.00,1024.00,55.00,0.0537,0.00,-1018.5000
450000,0.00,1024.00,55.00,0.0537,0.00,-1018.5000
500000,1.00,1013.82,55.15,0.1698,6.00,-1007.8050
550000,52.00,505.36,264.43,4.9294,26.62,-452.9170
600000,47.00,555.10,321.90,4.9040,26.34,-499.4100
650000,39.00,634.31,375.83,4.4541,24.79,-577.2270
700000,49.00,536.40,351.63,5.2894,28.90,-476.7370
750000,23.00,792.15,197.42,2.7204,15.96,-760.9080
800000,6.00,963.26,112.31,0.6771,11.67,-949.0290
850000,38.00,646.62,278.63,3.0803,30.89,-599.7570
900000,47.00,564.31,325.61,3.1784,45.94,-508.2490
950000,16.00,863.02,150.73,1.3714,17.88,-839.9470
1000000,35.00,672.46,291.19,4.0686,19.60,-625.8410
1050000,46.00,565.84,356.12,5.0693,28.00,-507.2280
1100000,51.00,520.20,377.78,5.2749,36.16,-456.9220
1150000,57.00,463.14,459.42,6.0563,40.04,-388.6980
1200000,32.00,702.44,293.85,3.7656,19.12,-657.0550
1250000,33.00,693.90,255.40,3.3559,23.70,-651.8600
1300000,40.00,628.14,411.50,4.4049,34.35,-566.9900
1350000,33.00,698.31,405.46,3.4428,37.06,-641.2640
1400000,47.00,568.34,464.09,4.0447,54.51,-498.4310
1450000,52.00,509.83,477.35,5.7674,35.21,-436.0950
1500000,51.00,528.54,554.97,5.3330,52.51,-447.5430
1550000,65.00,394.39,506.66,6.3779,55.37,-311.2240
1600000,24.00,785.92,333.58,2.0707,32.00,-740.5620
1650000,26.00,765.37,323.62,2.4624,29.27,-720.0080
1700000,43.00,611.59,628.47,4.1455,64.91,-527.2430
1750000,46.00,573.35,539.37,4.8619,44.33,-496.4130
1800000,33.00,701.76,506.10,3.4319,47.52,-634.6500
1850000,41.00,618.78,546.58,4.6201,35.66,-543.6220
1900000,51.00,522.11,516.28,5.3587,39.90,-444.9820
1950000,48.00,557.99,582.28,4.7498,53.15,-475.7620
2000000,43.00,602.41,557.79,4.5685,43.56,-525.1310
2050000,49.00,544.68,543.43,5.0519,45.80,-465.8370
2100000,43.00,600.22,550.48,4.6615,38.47,-523.6720
2150000,40.00,633.98,580.08,4.4009,48.95,-555.9720
2200000,32.00,703.86,365.77,3.7451,23.56,-651.2830
2250000,45.00,586.27,589.27,4.6857,51.27,-504.8430
2300000,25.00,780.23,639.40,2.9625,48.92,-703.7900
2350000,26.00,767.76,378.28,2.5189,38.46,-716.9320
2400000,44.00,593.49,559.80,4.7863,45.57,-515.5100
2450000,49.00,543.88,547.14,5.2667,44.16,-464.6660
2500000,41.00,620.91,562.72,4.4554,40.85,-544.1380
2550000,45.00,574.69,361.86,5.1047,25.53,-516.0040
2600000,32.00,720.92,483.31,2.3497,76.88,-656.5890
2650000,36.00,675.81,362.37,2.9213,56.81,-621.5730
2700000,63.00,437.34,655.30,4.5426,92.79,-340.3100
2750000,50.00,534.15,544.96,5.1994,44.30,-454.6540
2800000,47.00,568.49,590.36,4.6944,54.83,-485.9540
2850000,44.00,601.79,592.70,4.2426,64.43,-520.5200
2900000,34.00,689.79,570.01,3.7969,41.03,-615.7890
2950000,18.00,853.48,556.38,1.6457,76.67,-788.8420
3000000,51.00,559.68,719.91,3.5293,113.57,-462.1890
3050000,23.00,806.23,648.96,2.0714,77.17,-729.8340
3100000,32.00,715.48,613.16,3.2752,59.88,-638.1640
3150000,43.00,615.37,625.97,3.7738,73.70,-531.2730
3200000,45.00,589.49,619.29,4.5281,58.42,-505.0610
3250000,41.00,622.52,555.12,4.3500,44.78,-546.5080
3300000,45.00,583.46,566.04,4.9311,45.02,-504.3560
3350000,47.00,606.26,741.20,3.0852,135.19,-508.6400
3400000,34.00,711.37,657.47,2.4777,104.50,-628.6230
3450000,32.00,717.71,499.60,2.8468,66.84,-651.7500
3500000,49.00,553.99,579.20,4.4902,64.80,-471.5700
3550000,22.00,821.11,617.69,1.6504,101.77,-748.3410
3600000,57.00,511.54,616.76,3.3968,124.95,-421.3640
3650000,50.00,566.36,662.61,3.3642,108.72,-475.0990
3700000,46.00,611.12,700.98,2.9302,126.43,-518.0220
3750000,39.00,659.81,639.84,3.0186,90.18,-576.3260
3800000,31.00,739.90,638.72,2.3114,107.55,-660.5280
3850000,40.00,628.79,553.31,4.4764,35.98,-553.4590
3900000,34.00,691.22,574.44,3.7824,45.24,-616.7760
3950000,57.00,482.52,616.17,5.1186,74.04,-392.4030
4000000,30.00,736.79,674.78,3.1505,66.63,-654.3120
4050000,45.00,585.82,616.18,4.7623,50.27,-501.7020
4100000,44.00,616.98,663.60,3.2940,98.95,-528.6200
4150000,29.00,746.17,633.90,2.7099,65.97,-668.2800
4200000,53.00,538.83,664.13,3.7226,108.58,-445.9170
4250000,22.00,823.12,688.93,1.7680,110.91,-743.2270
4300000,30.00,750.20,647.52,2.4967,111.33,-670.4480
4350000,54.00,528.66,714.12,3.9675,106.70,-430.2480
4400000,45.00,592.68,626.36,4.3792,65.51,-507.5440
4450000,45.00,615.83,755.33,3.1608,116.96,-517.7970
4500000,48.00,580.77,665.46,3.4896,100.60,-490.2240
4550000,37.00,682.59,691.27,2.8519,101.27,-594.9630
4600000,43.00,618.97,670.21,3.8801,82.07,-530.4490
4650000,42.00,641.51,710.87,2.9104,113.31,-549.4230
4700000,38.00,670.55,677.40,3.0319,93.87,-583.8100
4750000,43.00,620.54,659.49,3.5726,85.72,-533.0910
4800000,70.00,392.14,742.82,4.5959,121.34,-282.8580
4850000,35.00,700.89,695.02,2.7482,100.83,-613.8880
4900000,54.00,515.23,672.84,4.7773,81.83,-420.9460
4950000,34.00,700.43,611.84,2.8806,72.32,-622.2460
5000000,37.00,679.14,688.68,3.0353,91.95,-591.7720
5050000,37.00,677.11,672.72,3.0703,86.46,-591.3380
5100000,30.00,744.40,700.28,2.6017,92.00,-659.3720
5150000,48.00,585.54,726.84,3.3386,110.54,-488.8560
5200000,47.00,595.03,720.34,3.4117,111.30,-499.4960
5250000,34.00,707.99,688.62,2.6905,94.56,-622.1280
5300000,25.00,788.46,691.52,2.2450,81.84,-706.8080
5350000,28.00,751.73,403.25,2.3510,51.61,-697.4050
