TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,7.00,952.91,121.20,1.0297,8.43,-937.2900
100000,31.00,709.75,138.50,3.6360,10.29,-680.4000
150000,58.00,437.40,148.47,6.4922,12.62,-393.5530
200000,73.00,287.81,151.57,7.6019,15.52,-236.1530
250000,75.00,265.13,130.86,8.7090,12.17,-214.5440
300000,89.00,122.46,103.60,9.4217,11.03,-67.6000
350000,92.00,90.60,100.82,10.4377,9.43,-34.5180
400000,95.00,60.29,98.61,10.5300,9.57,-2.9290
450000,96.00,50.18,98.22,10.7448,9.60,7.6420
500000,100.00,9.06,94.10,11.3751,9.06,50.3500
550000,97.00,39.82,98.47,11.1468,9.38,18.5270
600000,100.00,10.19,97.47,11.0306,10.19,49.5570
650000,100.00,8.63,95.23,11.7275,8.63,50.8930
700000,100.00,8.93,94.47,11.5603,8.93,50.5170
750000,100.00,8.64,94.49,11.8155,8.64,50.8090
800000,100.00,9.46,96.60,11.3670,9.46,50.2000
850000,100.00,9.83,97.89,10.8183,9.83,49.9590
900000,100.00,8.48,92.76,11.5734,8.48,50.7960
950000,100.00,8.51,92.72,11.5917,8.51,50.7620
1000000,100.00,8.87,95.95,11.5342,8.87,50.7250
1050000,100.00,8.55,93.46,11.5322,8.55,50.7960
1100000,100.00,8.18,94.08,11.9205,8.18,51.2280
1150000,100.00,8.42,94.58,11.6861,8.42,51.0380
1200000,100.00,8.24,93.84,11.8184,8.24,51.1440
1250000,100.00,8.38,92.84,11.6836,8.38,50.9040
1300000,100.00,8.48,93.05,11.4573,8.48,50.8250
1350000,100.00,8.49,93.59,11.5691,8.49,50.8690
1400000,100.00,8.90,94.33,11.0405,8.90,50.5330
1450000,100.00,8.60,93.44,11.3625,8.60,50.7440
1500000,100.00,8.22,91.15,11.6400,8.22,50.8950
1550000,100.00,8.57,94.47,11.5999,8.57,50.8770
1600000,100.00,8.69,94.64,11.4263,8.69,50.7740
1650000,100.00,9.03,95.02,11.0732,9.03,50.4720
1700000,100.00,8.33,92.27,11.5048,8.33,50.8970
1750000,100.00,8.75,93.90,11.3527,8.75,50.6400
1800000,100.00,8.62,93.74,11.4074,8.62,50.7540
1850000,100.00,8.66,93.78,11.3280,8.66,50.7180
1900000,100.00,9.11,95.18,10.9704,9.11,50.4080
1950000,100.00,8.31,92.95,11.6960,8.31,50.9850
2000000,100.00,8.89,95.27,11.2379,8.89,50.6370
2050000,100.00,8.51,93.24,11.5482,8.51,50.8140
2100000,100.00,8.85,95.72,11.2181,8.85,50.7220
2150000,100.00,9.01,94.80,11.0249,9.01,50.4700
2200000,100.00,8.96,93.95,10.9556,8.96,50.4350
2250000,100.00,8.79,95.58,11.4456,8.79,50.7680
2300000,100.00,9.15,95.00,10.8285,9.15,50.3500
2350000,100.00,8.91,94.75,11.1255,8.91,50.5650
2400000,100.00,9.08,95.39,11.0155,9.08,50.4590
2450000,100.00,9.16,95.94,10.8818,9.16,50.4340
2500000,100.00,9.26,96.02,10.8124,9.26,50.3420
2550000,100.00,8.93,94.55,11.2156,8.93,50.5250
2600000,99.00,19.29,94.02,10.7077,9.14,39.6120
2650000,100.00,8.70,95.34,11.4323,8.70,50.8340
2700000,100.00,8.85,95.99,11.3499,8.85,50.7490
2750000,90.00,110.38,96.11,10.1328,8.87,-55.7690
2800000,94.00,72.01,97.93,9.7862,11.24,-15.2170
2850000,72.00,292.10,102.80,9.4035,7.47,-245.8200
2900000,52.00,494.93,103.21,7.1064,6.56,-458.6090
2950000,73.00,282.54,122.45,9.3370,8.30,-233.7950
3000000,95.00,69.75,133.04,10.0815,19.53,-8.9460
3050000,87.00,146.46,133.00,9.3678,15.33,-89.6600
3100000,92.00,100.64,139.14,9.1653,20.35,-40.7260
3150000,86.00,154.17,121.35,9.8492,12.57,-99.0350
3200000,72.00,295.33,137.83,8.2927,11.96,-245.5470
3250000,68.00,340.12,151.26,6.3627,18.29,-290.9940
3300000,93.00,98.29,163.66,7.6920,28.61,-35.4240
3350000,78.00,254.93,182.45,5.7740,38.01,-197.6850
3400000,47.00,553.41,177.95,4.5427,22.74,-512.1150
3450000,84.00,195.09,183.57,6.2154,37.20,-134.7330
3500000,56.00,469.09,185.17,4.1775,33.09,-422.5730
3550000,29.00,735.29,188.19,2.7097,28.45,-701.9710
3600000,29.00,733.05,184.03,2.9733,20.72,-700.1470
3650000,47.00,559.46,190.77,3.1586,35.62,-516.8830
3700000,35.00,673.96,185.49,3.0247,23.89,-637.9110
3750000,95.00,78.57,170.22,6.8627,28.81,-14.0480
3800000,29.00,733.52,189.21,2.9113,22.34,-700.0990
3850000,46.00,568.11,190.42,3.6725,32.93,-526.0680
3900000,43.00,598.09,190.36,3.3559,33.51,-557.5540
3950000,71.00,330.48,202.65,4.0299,47.21,-274.7150
4000000,87.00,171.63,201.23,5.0257,44.26,-108.0070
4050000,81.00,236.08,213.66,3.6430,51.26,-174.2140
4100000,43.00,605.28,198.99,2.1956,50.23,-563.8810
4150000,25.00,798.14,177.53,1.3960,120.56,-767.8870
4200000,10.00,923.23,181.26,1.0172,16.30,-900.1040
4250000,25.00,774.15,177.69,1.7781,24.60,-743.8810
4300000,20.00,825.15,184.80,1.3292,29.75,-796.6700
4350000,18.00,841.73,175.00,2.1895,11.39,-815.2300
4400000,24.00,798.87,186.39,2.1342,85.96,-768.2310
4450000,4.00,983.40,185.76,0.6640,9.00,-962.8240
4500000,11.00,913.65,182.05,0.8985,20.82,-889.9450
4550000,6.00,964.59,196.91,0.5438,33.83,-941.8990
4600000,16.00,863.55,190.34,1.7102,21.19,-836.5160
4650000,20.00,822.00,184.70,2.1636,14.00,-793.5300
4700000,8.00,943.81,192.07,0.7200,21.62,-920.6030
4750000,4.00,983.48,186.27,0.6136,11.00,-962.8530
4800000,43.00,607.45,201.83,2.1951,55.28,-565.7670
4850000,19.00,834.70,189.63,1.2389,27.68,-806.2370
4900000,65.00,389.73,206.31,2.8468,48.20,-336.5990
