TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
7600000,2.00,501.92,157.20,0.6663,8.00,-485.2000
7650000,21.00,406.45,190.03,4.8023,9.38,-376.9470
7700000,29.00,365.91,194.69,7.0448,8.24,-331.9410
7750000,49.00,266.86,189.19,8.9329,11.71,-223.4410
7800000,59.00,217.38,185.39,10.4082,12.64,-169.3410
7850000,72.00,154.55,189.01,10.6597,15.54,-99.6490
7900000,83.00,100.71,191.74,12.8915,16.47,-40.0360
7950000,65.00,187.78,191.59,11.3109,13.20,-136.1210
8000000,70.00,163.18,194.50,11.8702,13.69,-108.7300
8050000,78.00,122.88,194.02,13.6692,13.13,-64.4780
8100000,71.00,158.73,195.59,11.6966,14.44,-103.6710
8150000,79.00,117.50,191.03,13.9204,12.63,-58.8970
8200000,83.00,98.57,184.27,14.1142,13.89,-38.6430
8250000,75.00,137.78,195.28,12.8801,13.04,-80.7520
8300000,74.00,146.86,199.43,10.6671,18.57,-89.9170
8350000,75.00,136.96,191.87,13.9285,11.95,-80.2730
8400000,92.00,52.98,187.25,16.0215,13.07,11.7450
8450000,86.00,82.63,188.39,15.2662,12.73,-20.7910
8500000,88.00,73.22,189.15,15.5249,13.39,-10.3050
8550000,81.00,108.44,192.80,13.2790,13.78,-48.6600
8600000,82.00,102.82,191.05,14.3406,13.00,-42.7150
8650000,78.00,124.08,193.47,12.5098,14.67,-65.7330
8700000,83.00,97.35,189.70,14.8492,12.42,-36.8800
8750000,85.00,88.31,189.13,14.2501,13.54,-26.8970
8800000,83.00,97.46,189.22,14.4637,12.55,-37.0380
8850000,86.00,83.34,187.57,14.6766,13.56,-21.5830
8900000,94.00,44.60,190.16,14.2130,14.77,21.4160
8950000,87.00,78.21,190.67,14.8546,13.39,-15.6430
9000000,85.00,88.18,190.58,14.8885,13.39,-26.6220
9050000,92.00,53.90,190.49,15.2242,14.07,11.1490
9100000,90.00,63.05,188.82,15.8946,13.17,0.8320
9150000,93.00,47.59,188.37,16.6125,12.63,17.7470
9200000,78.00,122.81,193.62,13.8594,13.04,-64.4480
9250000,91.00,58.27,188.61,15.8410,13.40,6.0910
9300000,88.00,72.46,184.91,15.5510,12.52,-9.9690
9350000,80.00,113.62,187.74,14.7011,14.03,-54.8460
9400000,92.00,52.50,186.20,16.9670,12.54,12.1200
9450000,81.00,107.14,190.11,15.6202,12.17,-47.6290
9500000,97.00,28.64,185.95,16.6435,13.69,38.4550
9550000,87.00,78.51,194.25,14.3002,13.74,-15.5850
9600000,88.00,74.59,187.01,13.3391,14.94,-11.8890
9650000,89.00,67.23,187.34,16.3833,12.26,-3.9960
9700000,87.00,79.72,186.10,13.8342,15.13,-17.6100
9750000,89.00,68.34,193.36,15.1972,13.51,-4.5040
9800000,82.00,102.62,194.01,14.9714,12.76,-42.2190
9850000,85.00,87.58,192.49,15.3123,12.68,-25.8310
9900000,87.00,77.78,191.36,15.5828,12.90,-15.1440
9950000,74.00,142.95,197.48,13.5088,13.28,-86.2020
10000000,93.00,47.12,188.06,17.1652,12.13,18.1860
10050000,92.00,53.36,190.22,15.7953,13.48,11.6620
10100000,89.00,69.07,176.24,13.5035,14.33,-6.9460
10150000,91.00,61.43,175.78,11.2956,16.87,1.6480
10200000,86.00,85.67,190.71,12.7081,16.27,-23.5990
10250000,91.00,62.29,179.47,11.0605,17.81,1.1570
10300000,92.00,56.73,185.84,11.4993,17.14,7.8540
10350000,88.00,76.10,176.96,10.8374,16.66,-14.4040
10400000,94.00,44.12,177.86,14.5314,14.26,20.6660
10450000,98.00,22.42,177.42,17.1557,12.43,44.3220
10500000,90.00,66.67,178.26,10.9760,17.19,-3.8440
10550000,89.00,70.70,185.10,12.2089,16.16,-7.6900
10600000,90.00,67.61,180.86,9.6560,18.23,-4.5240
10650000,92.00,56.56,175.94,10.7610,16.96,7.0340
10700000,96.00,32.83,178.60,15.7129,12.86,33.0300
10750000,96.00,33.50,174.87,15.1288,13.56,31.9870
10800000,92.00,55.85,181.86,11.7622,16.18,8.3360
10850000,88.00,73.67,182.32,13.5211,13.90,-11.4380
10900000,92.00,52.80,187.25,16.7471,12.87,11.9250
10950000,96.00,34.70,175.22,14.0874,14.81,30.8220
11000000,95.00,36.83,183.19,18.4641,11.82,28.9890
11050000,92.00,54.77,173.55,12.8608,15.01,8.5850
11100000,96.00,31.58,184.01,18.0672,11.56,34.8210
11150000,98.00,26.48,183.79,13.0553,16.57,40.8990
11200000,84.00,92.63,181.39,13.3175,12.75,-32.4910
