TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,6.00,483.31,499.34,1.8408,33.83,-430.3760
100000,19.00,421.58,608.20,3.6197,36.11,-351.2600
150000,14.00,444.77,975.03,4.5873,31.79,-340.2670
200000,30.00,369.58,905.88,6.9730,37.27,-263.9920
250000,30.00,370.64,914.97,6.6386,40.80,-264.1430
300000,28.00,380.18,1146.02,7.2066,41.21,-251.5780
350000,21.00,414.51,742.61,4.1163,47.76,-329.7490
400000,24.00,398.26,768.34,5.0561,38.08,-309.4260
450000,34.00,350.76,905.30,7.3667,37.76,-243.2300
500000,23.00,403.14,742.46,4.7601,38.70,-317.3940
550000,25.00,393.24,794.93,5.3003,36.96,-301.2470
600000,28.00,380.25,1149.45,7.2088,41.46,-251.3050
650000,39.00,336.28,1165.66,7.5732,61.44,-200.2140
700000,37.00,340.53,1078.00,7.6680,48.57,-214.2300
750000,37.00,339.41,942.11,7.5584,45.54,-226.6990
800000,25.00,394.64,731.55,4.5341,42.56,-308.9850
850000,23.00,404.39,746.10,4.2241,44.13,-318.2800
900000,35.00,347.21,914.95,7.3293,41.17,-238.2150
950000,36.00,341.65,1096.98,8.7246,38.81,-213.9520
1000000,23.00,402.21,834.89,5.5536,34.65,-307.2210
1050000,34.00,354.05,944.57,6.8573,47.44,-242.5930
1100000,38.00,332.24,972.50,8.1511,38.95,-215.9900
1150000,19.00,421.83,655.74,3.6982,37.42,-346.7560
1200000,43.00,311.29,968.70,8.6961,45.23,-192.9200
1250000,28.00,382.15,728.65,4.6191,48.25,-295.2850
1300000,31.00,366.98,980.95,6.1841,44.19,-253.3850
1350000,33.00,360.25,996.20,6.4176,52.15,-244.1300
1400000,37.00,339.04,1139.47,8.6543,44.54,-206.5930
1450000,31.00,363.67,922.55,6.6374,33.52,-255.9150
1500000,33.00,355.55,923.55,6.7179,37.91,-246.6950
1550000,29.00,374.84,932.67,6.1514,39.03,-267.0730
1600000,33.00,355.30,712.59,5.7884,37.15,-267.5410
1650000,23.00,402.97,856.14,5.1991,37.96,-305.8560
1700000,27.00,387.08,836.23,5.2335,49.33,-289.9570
1750000,21.00,412.30,729.72,3.9223,37.24,-328.8280
1800000,20.00,417.28,808.63,4.3164,38.40,-326.4170
1850000,31.00,365.36,936.69,6.4996,38.97,-256.1910
1900000,31.00,364.21,914.17,6.5859,35.26,-257.2930
1950000,31.00,365.37,938.78,6.4375,39.00,-255.9920
2000000,27.00,383.61,724.78,5.0658,36.48,-297.6320
2050000,39.00,329.09,927.96,7.3183,43.00,-216.7940
2100000,35.00,346.04,1105.11,8.5068,37.83,-218.0290
2150000,48.00,286.21,1048.14,10.5941,41.60,-157.3960
2200000,37.00,338.44,936.98,7.3712,42.92,-226.2420
2250000,34.00,351.15,1115.37,8.3362,38.91,-222.6130
2300000,35.00,350.76,811.87,5.7324,51.31,-252.0730
2350000,23.00,405.66,754.86,4.0058,49.65,-318.6740
2400000,52.00,270.57,998.15,9.7723,47.71,-144.7550
2450000,48.00,289.03,1086.06,10.1668,47.48,-156.4240
2500000,40.00,328.69,1059.07,7.8531,53.73,-202.7830
2550000,43.00,318.34,1083.99,7.8362,61.63,-188.4410
2600000,35.00,352.83,965.13,6.0508,57.23,-238.8170
2650000,49.00,282.98,1080.54,10.7041,44.61,-150.4260
2700000,38.00,343.78,870.59,5.9364,69.32,-237.7210
2750000,28.00,380.53,795.21,4.9648,42.46,-287.0090
2800000,17.00,432.53,726.72,3.2972,44.53,-351.3580
2850000,37.00,342.35,1188.88,8.3268,53.49,-204.9620
2900000,47.00,291.30,1063.70,10.4134,42.43,-161.4300
2950000,20.00,419.14,720.56,3.9331,47.70,-337.0840
3000000,38.00,336.35,1149.70,8.6694,49.76,-202.3800
3050000,36.00,345.55,841.38,6.3853,49.64,-243.4120
3100000,36.00,346.47,1046.72,7.2020,52.19,-223.7980
3150000,37.00,337.81,946.66,7.6799,41.22,-224.6440
3200000,49.00,276.01,964.97,11.4617,30.39,-155.0130
3250000,36.00,340.57,914.42,7.8601,35.81,-231.1280
3300000,35.00,348.53,856.45,6.2321,44.94,-245.3850
3350000,53.00,263.95,876.44,10.1047,43.98,-149.8060
3400000,31.00,367.24,790.24,5.8691,45.03,-272.7160
3450000,44.00,306.98,879.17,8.4888,46.05,-197.0630
3500000,33.00,358.95,1048.62,7.1161,48.21,-237.5880
3550000,42.00,316.57,1004.06,8.3079,46.69,-195.1640
3600000,25.00,399.80,694.07,3.5892,63.20,-317.8930
3650000,42.00,321.49,1173.28,9.0426,58.40,-183.1620
3700000,32.00,368.24,904.31,5.4061,62.75,-261.8090
3750000,32.00,360.72,753.07,5.8496,39.25,-269.4130
3800000,24.00,401.38,678.52,3.8767,51.08,-321.5280
3850000,24.00,402.93,1068.86,5.1954,57.54,-284.0440
3900000,45.00,302.31,864.03,8.3581,46.02,-193.4070
3950000,44.00,308.79,837.61,7.2993,50.16,-203.0290
4000000,35.00,353.94,912.11,5.8258,60.40,-245.2290
4050000,37.00,337.90,852.36,6.5974,41.46,-234.1640
4100000,24.00,399.33,996.50,5.3154,42.54,-287.6800
4150000,45.00,303.91,1018.06,8.9493,49.58,-179.6040
4200000,32.00,363.09,957.11,6.2343,46.66,-251.3790
4250000,40.00,326.54,978.29,7.6966,48.35,-208.7110
4300000,33.00,360.87,880.63,5.5428,54.03,-256.3070
4350000,48.00,293.57,1075.92,9.0664,56.94,-161.9780
4400000,43.00,309.09,906.77,8.8184,40.12,-196.9130
4450000,21.00,416.30,890.23,3.9185,56.29,-316.7770
4500000,23.00,404.20,550.05,3.6408,43.30,-337.6950
4550000,29.00,377.94,996.99,5.9277,49.72,-263.7410
4600000,25.00,394.36,749.67,4.8599,41.44,-306.8930
4650000,15.00,441.09,589.38,2.8423,39.27,-374.6520
4700000,32.00,365.15,1001.79,6.4596,53.09,-248.9710
4750000,26.00,388.31,744.78,5.1233,36.27,-300.8320
4800000,25.00,394.49,992.74,5.5885,41.96,-282.7160
4850000,39.00,333.80,1073.24,7.7658,55.08,-206.9760
4900000,45.00,303.24,1014.83,8.7842,48.09,-179.2570
4950000,24.00,405.28,1044.85,4.7361,67.33,-288.7950
5000000,20.00,419.23,863.50,3.9766,48.15,-322.8800
5050000,36.00,348.60,1184.44,7.4042,58.11,-212.1560
5100000,16.00,439.06,720.07,2.8990,56.12,-359.0530
5150000,22.00,412.39,898.04,4.2064,59.23,-311.5860
5200000,30.00,371.34,999.52,6.3538,43.13,-256.3880
5250000,49.00,285.12,1039.54,9.4425,48.98,-156.6660
5300000,35.00,352.73,1101.35,7.3262,56.94,-225.0950
5350000,43.00,314.99,1058.35,8.2866,53.84,-187.6550
5400000,45.00,300.62,892.92,8.2869,42.27,-188.8280
5450000,49.00,289.53,1205.43,10.2564,57.98,-144.4870
5500000,38.00,343.17,1182.23,7.6089,67.71,-205.9470
5550000,20.00,421.39,716.55,3.3077,58.95,-339.7350
5600000,31.00,369.72,1011.27,6.1245,53.03,-253.0930
5650000,20.00,422.42,912.65,3.7948,64.10,-321.1550
5700000,36.00,348.50,908.33,6.1084,57.83,-239.6670
5750000,28.00,385.66,906.60,4.9693,60.79,-281.0000
5800000,33.00,361.28,879.88,5.9386,55.27,-256.7920
5850000,38.00,336.37,846.43,6.4355,49.82,-232.7270
5900000,35.00,348.76,850.24,6.5155,45.60,-246.2360
5950000,46.00,327.09,1096.24,6.1411,110.02,-194.4660
6000000,25.00,393.26,849.42,5.6617,37.04,-295.8180
6050000,22.00,413.23,714.89,3.8072,63.05,-330.7410
6100000,26.00,395.18,702.57,3.7309,62.69,-311.9230
6150000,28.00,382.97,880.83,4.9490,51.18,-280.8870
6200000,45.00,306.64,1012.61,8.5892,55.64,-182.8790
6250000,39.00,326.01,900.32,8.6243,35.10,-216.4780
6300000,61.00,240.17,1122.66,10.3527,66.38,-97.4040
6350000,44.00,308.63,1035.16,8.7048,49.80,-183.1140
6400000,42.00,319.11,1151.79,9.2657,52.74,-182.9310
6450000,24.00,405.08,951.37,4.5585,66.50,-297.9430
6500000,23.00,404.20,725.02,4.3716,43.30,-320.1980
6550000,30.00,374.35,904.70,5.3996,53.17,-268.8800
6600000,40.00,324.75,954.25,8.0151,43.88,-209.3250
6650000,26.00,392.50,1032.77,5.5997,52.38,-276.2230
6700000,17.00,436.56,881.35,3.4620,68.24,-339.9250
6750000,39.00,331.83,1152.65,8.7909,50.03,-197.0650
6800000,36.00,355.10,1005.98,5.6687,76.17,-236.5020
6850000,28.00,383.73,833.11,4.6212,53.89,-286.4190
6900000,28.00,387.16,688.26,3.6420,66.14,-304.3340
6950000,40.00,356.72,978.82,4.8319,123.80,-238.8380
7000000,32.00,364.49,919.19,6.0043,51.03,-256.5710
7050000,31.00,371.79,953.10,5.6556,59.71,-260.9800
7100000,37.00,346.74,748.28,4.4746,65.35,-253.4120
7150000,35.00,361.93,966.25,4.8904,83.23,-247.8050
7200000,30.00,371.23,736.91,5.3687,42.77,-282.5390
7250000,27.00,388.11,1180.78,5.8538,53.15,-256.5320
7300000,26.00,395.82,992.66,4.5664,65.15,-283.5540
7350000,30.00,381.71,962.73,4.9788,77.70,-270.4370
7400000,29.00,379.73,885.14,5.6740,55.90,-276.7160
7450000,34.00,362.86,981.73,5.0503,73.35,-247.6870
7500000,37.00,351.66,981.84,5.4355,78.65,-234.9760
7550000,22.00,412.58,1019.88,4.8563,60.09,-299.5920
