TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,0.00,2048.00,324.00,0.1582,0.00,-2015.6000
100000,3.00,1986.93,229.30,0.6326,12.33,-1962.5000
150000,18.00,1683.37,594.51,3.7896,22.28,-1614.9190
200000,7.00,1905.56,258.68,1.3572,13.14,-1876.1920
250000,16.00,1724.93,546.13,2.6307,28.81,-1662.3170
300000,35.00,1343.66,867.44,6.9338,35.60,-1239.4160
350000,38.00,1282.95,933.90,7.7432,34.71,-1170.5600
400000,32.00,1407.10,1007.82,5.5117,45.19,-1290.3180
450000,43.00,1180.42,795.43,8.5175,30.37,-1079.3770
500000,36.00,1321.67,961.14,7.8268,30.42,-1207.5560
550000,45.00,1141.88,951.10,9.5490,34.40,-1024.2700
600000,46.00,1124.69,986.81,9.0091,40.80,-1003.0090
650000,43.00,1185.40,994.46,7.9114,41.95,-1064.4540
700000,13.00,1784.21,557.31,2.9233,18.85,-1721.9790
750000,31.00,1422.94,696.44,5.7816,31.68,-1337.7960
800000,36.00,1328.15,918.61,6.0550,48.42,-1218.2890
850000,35.00,1342.01,687.94,6.7446,30.89,-1255.7160
900000,46.00,1125.36,985.85,8.7690,42.26,-1003.7750
950000,42.00,1205.68,883.16,7.9796,42.48,-1096.3640
1000000,47.00,1108.32,887.41,7.6312,48.68,-996.0790
1050000,48.00,1084.50,988.14,9.3310,40.71,-961.6860
1100000,50.00,1044.92,883.34,9.4312,41.84,-931.5860
1150000,41.00,1225.28,799.47,6.7061,41.37,-1124.8330
1200000,30.00,1442.04,838.36,6.2711,28.13,-1343.2040
1250000,34.00,1363.98,853.53,6.6917,36.18,-1261.6270
1300000,34.00,1361.16,716.58,6.9606,27.88,-1272.5020
1350000,38.00,1283.00,829.61,7.3905,34.84,-1181.0390
1400000,43.00,1181.72,814.34,8.4307,33.40,-1078.7860
1450000,33.00,1381.73,711.25,6.4629,29.00,-1294.1050
1500000,47.00,1104.98,778.99,8.0413,41.57,-1003.5810
1550000,33.00,1383.62,698.37,6.1039,34.73,-1297.2830
1600000,32.00,1405.87,937.07,6.1439,41.34,-1296.1630
1650000,42.00,1202.95,940.50,8.5882,35.98,-1087.9000
1700000,32.00,1401.83,639.95,6.1983,28.72,-1321.8350
1750000,45.00,1143.98,941.19,8.9866,39.07,-1027.3610
1800000,49.00,1061.20,725.30,9.6288,34.12,-964.1700
1850000,37.00,1302.65,858.08,7.6653,33.54,-1198.3420
1900000,36.00,1328.07,882.26,6.3783,48.19,-1221.8440
1950000,37.00,1305.24,956.10,6.9872,40.54,-1191.1300
2000000,47.00,1104.79,805.90,8.4795,41.17,-1000.7000
2050000,44.00,1167.36,880.65,7.2727,46.55,-1057.2950
2100000,39.00,1264.50,814.13,6.6864,39.03,-1163.5870
2150000,40.00,1248.97,1035.35,7.4193,50.42,-1125.4350
2200000,43.00,1182.86,902.44,8.6638,36.05,-1071.1160
2250000,40.00,1245.82,930.20,7.3886,42.55,-1132.8000
2300000,36.00,1322.58,828.83,7.3915,32.94,-1221.6970
2350000,44.00,1170.94,997.17,7.5024,54.68,-1049.2230
2400000,31.00,1422.75,816.39,6.4466,31.06,-1325.6110
2450000,50.00,1045.29,937.86,9.6596,42.58,-926.5040
2500000,51.00,1032.90,1113.39,9.1888,57.61,-896.0610
2550000,34.00,1362.71,677.83,6.3560,32.44,-1277.9270
2600000,35.00,1341.25,736.83,7.1562,28.71,-1250.0670
2650000,53.00,982.70,931.69,10.4133,38.00,-863.0310
2700000,48.00,1087.84,980.74,8.4764,47.67,-965.7660
2750000,49.00,1064.12,887.97,9.6369,40.08,-950.8230
2800000,48.00,1086.92,888.86,8.7957,45.75,-974.0340
2850000,52.00,1008.74,1022.68,9.3103,49.42,-880.4720
2900000,41.00,1223.89,944.88,8.1633,37.98,-1108.9020
2950000,44.00,1163.96,969.92,8.8969,38.82,-1044.9680
3000000,55.00,950.57,1010.91,9.7568,52.67,-821.9790
3050000,48.00,1087.36,1041.86,9.2242,46.67,-959.1740
3100000,52.00,1014.97,1049.03,8.3644,61.40,-884.0670
3150000,57.00,916.74,1120.49,9.8018,63.33,-776.1910
3200000,53.00,988.96,970.90,9.4654,49.81,-865.3700
3250000,43.00,1187.77,867.15,7.3328,47.47,-1079.5550
3300000,40.00,1245.04,862.37,7.6550,40.60,-1138.8030
3350000,51.00,1040.19,1086.09,8.5955,71.90,-906.0810
3400000,28.00,1484.84,811.02,5.1863,36.71,-1389.7380
3450000,28.00,1487.57,831.21,4.7286,46.46,-1390.4490
3500000,45.00,1146.55,1031.40,8.8109,44.78,-1020.9100
3550000,41.00,1224.11,852.45,8.0351,38.51,-1118.3650
3600000,53.00,990.16,807.66,8.6067,52.08,-882.8940
3650000,37.00,1311.16,925.98,6.0439,56.54,-1200.0620
3700000,63.00,796.48,1090.58,11.0886,61.46,-655.9220
