TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,0.00,2048.00,429.00,0.2095,0.00,-2005.1000
100000,9.00,1865.70,797.01,3.3315,22.44,-1781.4990
150000,22.00,1605.81,914.34,6.5250,38.05,-1503.3760
200000,28.00,1483.71,1006.89,8.6888,32.68,-1369.0210
250000,16.00,1723.79,773.22,5.5747,21.69,-1638.4680
300000,22.00,1603.38,794.82,6.8032,27.00,-1512.8980
350000,27.00,1502.45,883.72,9.7131,27.44,-1400.5780
400000,17.00,1704.78,926.63,5.6322,29.06,-1603.6170
450000,18.00,1684.68,870.02,5.6186,29.56,-1588.6780
500000,13.00,1785.01,855.90,4.5417,25.00,-1692.9200
550000,21.00,1624.24,852.05,6.9938,30.10,-1528.5350
600000,9.00,1865.75,795.97,3.3564,23.00,-1781.6530
650000,30.00,1446.96,981.87,7.7139,44.53,-1333.7730
700000,22.00,1604.42,920.23,6.7602,31.73,-1501.3970
750000,27.00,1502.25,896.57,9.2045,26.70,-1399.0930
800000,21.00,1623.76,839.57,6.9022,27.81,-1529.3030
850000,18.00,1683.32,801.38,6.5289,22.00,-1594.1820
900000,12.00,1805.03,834.73,4.4014,23.25,-1715.5570
950000,12.00,1804.13,698.22,4.9397,15.75,-1728.3080
1000000,18.00,1682.84,778.49,6.9491,19.33,-1595.9910
1050000,23.00,1584.24,970.99,7.4185,31.65,-1475.6410
1100000,55.00,951.62,1357.49,14.3770,54.58,-788.3710
1150000,60.00,852.63,1425.45,16.2218,55.72,-680.0850
1200000,58.00,900.53,1438.96,13.3818,69.60,-727.6340
1250000,54.00,985.90,1504.23,12.0089,81.15,-808.4770
1300000,54.00,978.29,1516.01,13.5445,67.06,-799.6890
1350000,51.00,1036.44,1507.26,13.2195,64.55,-860.2140
1400000,56.00,943.28,1655.71,13.6645,75.29,-749.7090
1450000,53.00,1003.85,1680.58,12.5893,77.91,-809.2920
1500000,65.00,760.94,1549.44,16.8604,67.91,-573.4960
1550000,53.00,1006.25,1682.12,12.6552,82.43,-811.5380
1600000,57.00,933.76,1613.49,11.7268,93.19,-743.9110
1650000,45.00,1162.33,1526.77,9.3127,79.84,-987.1530
1700000,55.00,968.28,1551.34,12.3844,84.87,-785.6460
1750000,50.00,1063.11,1532.61,10.8797,78.22,-884.8490
1800000,51.00,1047.07,1596.14,11.0995,85.39,-861.9560
1850000,54.00,993.33,1595.96,10.4709,94.91,-806.7340
1900000,54.00,992.63,1627.80,10.4865,93.61,-802.8500
1950000,63.00,822.32,1616.81,11.9367,102.48,-629.1390
2000000,50.00,1066.80,1587.92,10.1293,85.60,-883.0080
2050000,57.00,931.85,1580.61,12.3067,89.84,-745.2890
2100000,44.00,1177.45,1519.83,10.5025,69.48,-1003.4670
2150000,47.00,1116.36,1630.39,12.8406,65.79,-929.8210
2200000,47.00,1113.59,1577.53,13.2832,59.89,-932.3370
2250000,46.00,1139.49,1699.62,11.7894,72.98,-946.5280
2300000,51.00,1050.01,1613.55,10.4540,91.16,-863.1550
2350000,57.00,919.12,1568.85,14.8486,67.51,-733.7350
2400000,59.00,882.67,1629.80,14.7406,72.86,-690.1900
2450000,45.00,1159.51,1662.70,11.8327,73.58,-970.7400
2500000,49.00,1079.05,1611.59,12.5443,70.55,-893.3910
2550000,53.00,1009.67,1617.90,11.1089,88.89,-821.3800
2600000,52.00,1019.99,1465.58,11.7243,71.06,-847.4320
2650000,48.00,1100.92,1697.83,12.0839,74.92,-907.1370
2700000,34.00,1375.05,1554.51,8.4870,68.74,-1202.5990
2750000,61.00,849.78,1639.05,13.8183,83.70,-655.3750
2800000,51.00,1051.94,1659.10,10.5985,94.94,-860.5300
2850000,52.00,1016.55,1597.92,14.1443,64.44,-830.7580
