TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,6.00,963.99,700.86,2.1304,23.83,-890.9040
100000,5.00,973.38,530.01,2.3399,11.60,-917.8790
150000,2.00,1003.86,685.76,1.3484,17.00,-934.2840
200000,12.00,902.83,776.87,5.6608,14.25,-819.1430
250000,14.00,883.37,826.41,5.9706,19.50,-793.7290
300000,26.00,764.00,849.43,9.7530,24.00,-666.0570
350000,17.00,856.13,1050.85,6.1558,36.53,-742.5450
400000,25.00,773.00,794.76,9.8762,20.00,-681.0240
450000,19.00,832.97,861.77,7.9559,18.58,-737.2930
500000,14.00,885.04,869.75,5.6209,31.43,-791.0650
550000,29.00,741.57,1168.13,8.8509,50.10,-610.2570
600000,60.00,491.79,1467.43,9.6853,136.98,-315.0470
650000,37.00,671.64,1269.05,8.7431,71.68,-526.2350
700000,46.00,589.63,1307.18,10.4583,79.72,-435.9120
750000,41.00,643.55,1259.95,8.8920,96.07,-497.0550
800000,35.00,689.86,1178.11,9.6828,69.31,-554.5490
850000,50.00,602.90,1231.61,10.9222,181.80,-454.7390
900000,30.00,735.94,1210.16,7.3823,63.80,-599.9240
950000,37.00,669.57,1347.98,9.1406,66.08,-516.2720
1000000,36.00,680.28,1194.57,9.1597,69.22,-542.8230
1050000,50.00,549.70,1269.64,11.8080,75.40,-397.7360
1100000,56.00,501.57,1515.96,13.7614,91.09,-321.9740
1150000,52.00,532.28,1375.00,12.7244,78.38,-368.7800
1200000,43.00,607.55,1219.42,11.8192,55.51,-464.1080
1250000,64.00,421.10,1459.48,15.8445,81.97,-243.1520
1300000,59.00,535.51,1384.47,12.7621,196.05,-367.5630
1350000,71.00,391.61,1543.48,12.2320,133.31,-201.7620
1400000,31.00,731.45,1204.10,6.7464,80.29,-595.5400
1450000,34.00,712.98,1233.94,7.2784,109.24,-572.5860
1500000,45.00,592.68,1356.08,11.4404,65.51,-434.5720
1550000,42.00,617.14,1228.80,11.1697,55.29,-473.2600
1600000,60.00,456.47,1445.80,13.8762,78.12,-281.8900
1650000,53.00,544.56,1376.81,10.1955,119.40,-380.3790
1700000,74.00,349.32,1522.80,14.7327,112.27,-160.0400
1750000,62.00,456.60,1451.75,14.2223,108.84,-280.4250
1800000,60.00,452.25,1357.31,14.3491,71.08,-286.5190
1850000,36.00,684.68,1217.41,8.2357,81.44,-544.9390
1900000,60.00,494.33,1409.97,13.3517,141.22,-323.3330
1950000,57.00,513.22,1313.22,13.1371,127.89,-353.3980
2000000,61.00,459.19,1367.39,13.2963,98.08,-291.9510
2050000,52.00,521.98,1259.10,14.3098,58.58,-370.0700
2100000,47.00,568.64,1350.40,14.4641,55.15,-410.1000
2150000,58.00,480.34,1476.71,13.6326,86.66,-303.6690
2200000,52.00,537.53,1438.87,11.3347,88.48,-367.6430
2250000,42.00,616.50,1209.47,11.0675,53.76,-474.5530
2300000,58.00,500.58,1490.31,12.6447,121.55,-322.5490
2350000,60.00,446.89,1449.94,15.2869,62.15,-271.8960
2400000,48.00,560.82,1403.13,12.8401,59.04,-396.5070
2450000,55.00,508.78,1398.30,12.2811,87.24,-341.4500
2500000,55.00,511.73,1448.45,12.9959,92.60,-339.3850
2550000,56.00,519.75,1435.84,11.7751,123.55,-348.1660
2600000,30.00,792.47,1193.01,4.4310,252.23,-658.1690
2650000,58.00,473.73,1439.23,14.0101,75.26,-300.8070
2700000,68.00,384.54,1417.47,15.9487,83.62,-208.7930
2750000,46.00,591.09,1366.12,9.5611,82.89,-431.4780
2800000,66.00,405.19,1463.01,15.5087,86.41,-225.8890
2850000,55.00,508.47,1361.72,15.2262,86.67,-344.7980
2900000,48.00,567.39,1418.72,11.4401,72.73,-401.5180
2950000,41.00,637.96,1269.30,9.1890,82.44,-490.5300
