TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,11.00,913.19,485.43,3.5398,16.64,-859.1470
100000,5.00,973.78,484.31,1.6837,19.60,-922.8490
150000,12.00,903.06,504.97,3.8432,16.17,-846.5630
200000,46.00,565.89,685.27,10.8328,28.11,-474.3630
250000,46.00,562.89,636.87,13.4855,21.59,-476.2030
300000,61.00,412.50,595.10,17.0850,21.54,-322.4900
350000,42.00,603.17,602.48,11.4193,22.02,-521.9220
400000,44.00,582.82,597.90,12.3171,21.32,-501.0300
450000,66.00,365.86,630.00,16.7533,26.82,-269.8600
500000,50.00,522.53,580.22,13.9967,21.06,-439.5080
550000,76.00,263.72,648.24,22.5719,23.63,-160.8960
600000,68.00,340.93,619.51,22.3002,19.49,-244.9790
650000,82.00,202.74,701.79,27.8937,22.46,-91.5610
700000,83.00,191.62,658.30,29.8889,21.13,-84.2900
750000,88.00,141.08,662.46,32.3000,20.68,-30.8340
800000,81.00,209.83,636.72,30.0371,18.85,-105.6580
850000,85.00,171.26,670.62,31.2588,20.78,-61.6980
900000,84.00,182.62,689.44,29.3087,22.36,-71.6760
950000,79.00,231.64,700.81,28.4112,21.01,-122.0590
1000000,91.00,111.45,652.94,32.7847,21.20,-0.6560
1050000,79.00,230.06,674.37,30.1919,19.01,-123.1230
1100000,85.00,171.94,674.45,31.3260,21.58,-61.9950
1150000,88.00,141.10,668.37,31.6158,20.70,-30.2630
1200000,92.00,102.21,655.56,32.9691,22.05,9.3460
1250000,88.00,141.68,667.11,31.9672,21.36,-30.9690
1300000,81.00,214.64,690.64,29.8039,24.79,-105.0760
1350000,76.00,260.52,685.98,28.9326,19.42,-153.9220
1400000,89.00,135.68,652.30,33.4536,25.89,-25.9500
1450000,84.00,179.19,661.44,33.1652,18.27,-71.0460
1500000,91.00,109.63,631.96,35.5066,19.20,-0.9340
1550000,86.00,160.51,662.09,33.2497,19.94,-51.3010
1600000,86.00,163.12,677.89,31.5485,22.98,-52.3310
1650000,91.00,115.18,663.00,33.1729,25.30,-3.3800
1700000,91.00,114.21,668.94,33.0592,24.23,-1.8160
1750000,89.00,135.65,695.66,31.3399,25.85,-21.5840
1800000,94.00,86.08,677.20,33.4249,26.21,28.6400
1850000,93.00,96.84,654.06,33.8924,27.05,15.0660
1900000,94.00,86.40,666.53,33.9151,26.55,27.2530
1950000,96.00,67.49,659.51,33.2446,27.64,46.4610
2000000,92.00,107.29,686.41,32.0834,27.58,7.3510
2050000,94.00,82.17,634.25,35.5833,22.05,28.2550
2100000,91.00,112.01,646.43,34.5427,21.81,-1.8670
2150000,92.00,103.90,660.00,32.7418,23.89,8.1000
2200000,91.00,115.30,673.55,33.1271,25.43,-2.4450
2250000,90.00,119.76,644.67,35.4603,19.29,-10.2930
2300000,89.00,135.80,665.02,32.5119,26.02,-24.7980
2350000,95.00,76.51,654.29,34.1891,26.64,36.4190
2400000,93.00,95.56,670.20,34.2171,25.68,17.9600
2450000,100.00,34.67,678.20,31.9717,34.67,83.1500
2500000,96.00,64.44,619.51,35.6318,24.46,45.5110
2550000,91.00,113.96,672.03,33.5059,23.96,-1.2570
2600000,93.00,95.52,656.38,34.0337,25.63,16.6180
2650000,96.00,64.14,638.50,34.6432,24.15,47.7100
2700000,97.00,54.97,674.47,34.4029,25.00,60.9770
2750000,95.00,73.32,649.42,34.1777,23.28,39.1220
2800000,90.00,125.47,684.24,32.7239,25.63,-12.0460
2850000,93.00,96.89,667.38,33.4233,27.11,16.3480
2900000,89.00,135.01,674.38,31.7863,25.13,-23.0720
2950000,95.00,72.96,637.30,35.1871,22.91,38.2700
3000000,98.00,43.18,643.83,36.3245,23.16,70.2030
3050000,96.00,63.65,647.06,35.7931,23.64,49.0560
3100000,99.00,37.07,647.94,34.9374,27.10,77.2240
3150000,91.00,111.67,641.26,33.6338,21.44,-2.0440
3200000,97.00,57.36,638.72,35.5705,27.46,55.0120
3250000,83.00,193.02,660.44,27.8840,22.82,-85.4760
3300000,97.00,51.02,623.77,36.9569,20.93,59.8570
3350000,96.00,58.82,629.40,38.9903,18.60,52.1200
3400000,89.00,128.04,643.16,36.0495,17.30,-19.2240
3450000,94.00,87.09,644.39,34.0054,27.29,24.3490
3500000,98.00,39.84,617.41,38.6905,19.76,70.9010
3550000,93.00,93.11,663.83,34.1586,23.04,19.7730
3600000,98.00,42.19,638.54,36.5196,22.15,70.6640
3650000,97.00,58.21,663.05,32.0064,28.34,56.5950
3700000,95.00,68.54,628.21,38.3882,18.25,41.7810
3750000,93.00,96.75,663.08,33.4588,26.96,16.0580
3800000,100.00,25.36,623.68,37.7687,25.36,87.0080
3850000,98.00,42.76,650.47,36.5101,22.73,71.2870
3900000,96.00,69.15,671.79,34.0100,29.36,46.0290
3950000,97.00,52.85,624.92,36.4555,22.81,58.1420
4000000,99.00,38.40,663.81,34.3603,28.44,77.4810
4050000,93.00,95.66,660.84,33.9527,25.78,16.9240
4100000,92.00,109.55,648.12,34.7625,30.03,1.2620
4150000,97.00,50.19,637.19,36.9690,20.07,62.0290
4200000,98.00,44.79,641.33,36.3886,24.81,68.3430
4250000,96.00,63.22,653.78,35.2658,23.19,50.1580
4300000,96.00,63.19,639.60,36.0716,23.16,48.7700
4350000,94.00,82.60,638.80,34.9898,22.51,28.2800
4400000,98.00,45.24,633.10,36.4993,25.27,67.0700
4450000,94.00,83.16,644.55,34.6701,23.11,28.2950
4500000,93.00,98.83,652.64,32.4755,29.19,12.9340
4550000,94.00,83.82,659.19,34.8063,23.81,29.0990
4600000,95.00,78.46,642.57,35.1543,28.69,33.2970
4650000,91.00,111.24,648.31,35.1468,20.97,-0.9090
4700000,95.00,69.49,630.36,36.8787,19.25,41.0460
4750000,97.00,50.96,636.37,36.4327,20.87,61.1770
4800000,97.00,57.98,667.01,34.0228,28.10,57.2210
4850000,99.00,37.04,622.35,36.6379,27.07,74.6950
4900000,89.00,132.13,641.98,35.1682,21.90,-23.4320
4950000,98.00,40.20,629.19,38.3233,20.12,71.7190
5000000,92.00,103.23,650.24,35.4176,23.16,7.7940
5050000,96.00,63.20,637.69,35.8763,23.17,48.5690
5100000,91.00,136.01,665.57,32.6081,48.19,-23.9530
5150000,95.00,82.42,661.21,35.1920,32.86,31.2010
5200000,98.00,40.80,622.77,37.5947,20.73,70.4770
5250000,99.00,36.31,662.52,34.4475,26.33,79.4420
5300000,97.00,55.02,666.16,34.1916,25.05,60.0960
5350000,97.00,49.58,636.65,37.8919,19.44,62.5850
5400000,99.00,42.85,648.25,35.8299,32.94,71.4750
5450000,97.00,56.67,655.01,35.1027,26.75,57.3310
5500000,98.00,41.85,631.70,37.0024,21.81,70.3200
5550000,100.00,20.42,640.02,37.7093,20.42,93.5820
5600000,96.00,61.79,641.80,36.5666,21.70,50.3900
5650000,95.00,73.47,631.53,34.1778,23.44,37.1830
5700000,95.00,79.36,664.54,33.1502,29.64,34.5940
5750000,95.00,80.64,666.33,33.8693,30.99,33.4930
5800000,98.00,54.89,648.38,31.1012,35.11,58.9480
5850000,96.00,68.33,647.20,31.8420,28.51,44.3900
5900000,92.00,112.03,672.16,28.2555,32.73,1.1860
5950000,94.00,89.46,632.62,30.3438,29.81,20.8020
6000000,97.00,64.26,649.68,29.4547,34.58,49.2080
6050000,95.00,88.08,663.75,28.1118,38.82,25.7950
6100000,96.00,86.79,661.21,27.4248,47.74,27.3310
6150000,84.00,182.26,638.57,26.7763,21.93,-76.4030
6200000,91.00,124.29,625.99,32.0266,35.31,-16.1910
6250000,98.00,62.59,653.12,27.4103,42.97,51.7220
6300000,96.00,77.01,625.11,28.6095,37.55,33.5010
6350000,95.00,97.82,658.10,25.1554,49.07,15.4900
6400000,89.00,155.64,688.84,22.8473,48.31,-42.2560
6450000,92.00,124.35,635.24,27.3895,46.12,-14.8260
6500000,96.00,84.18,663.63,26.4673,45.02,30.1830
6550000,100.00,36.31,625.93,31.4760,36.31,76.2830
6600000,96.00,87.95,642.86,29.5547,48.95,24.3360
6650000,96.00,72.95,632.02,31.1510,33.32,38.2520
6700000,95.00,92.36,641.70,26.7499,43.33,19.3100
6750000,95.00,107.08,638.52,25.3654,58.82,4.2720
6800000,92.00,129.33,655.85,24.9969,51.53,-17.7450
6850000,94.00,105.04,668.57,25.9593,46.38,8.8170
6900000,89.00,165.35,676.14,24.1601,59.22,-53.2360
6950000,92.00,112.98,655.48,28.5913,33.76,-1.4320
7000000,93.00,103.61,653.15,28.4688,34.33,8.2050
7050000,92.00,124.84,640.96,26.2252,46.65,-14.7440
7100000,96.00,102.03,661.68,24.8541,63.61,12.1380
7150000,96.00,78.49,656.90,25.9658,39.09,35.2000
7200000,99.00,49.19,644.72,27.1639,39.34,64.7820
7250000,91.00,129.78,672.49,25.9942,41.34,-17.0310
7300000,96.00,87.25,677.79,24.7243,48.22,28.5290
7350000,89.00,138.46,639.89,28.3867,29.01,-29.9710
7400000,95.00,88.88,625.18,29.0698,39.66,21.1380
7450000,91.00,112.23,629.70,32.3865,22.05,-3.7600
7500000,78.00,250.43,678.19,23.5306,32.24,-143.6110
7550000,92.00,116.50,651.48,26.3930,37.59,-5.3520
7600000,90.00,134.75,653.51,26.2103,35.94,-24.3990
7650000,95.00,85.88,642.80,27.2706,36.51,25.9000
7700000,99.00,51.73,621.82,29.1581,41.91,59.9520
7750000,99.00,52.18,608.41,29.5580,42.36,58.1610
7800000,92.00,122.70,658.25,24.8133,44.33,-10.8750
7850000,84.00,196.01,679.81,23.8044,38.30,-86.0290
7900000,89.00,145.80,659.92,25.9993,37.26,-35.3080
7950000,96.00,87.30,630.90,27.8664,48.27,23.7900
8000000,96.00,70.23,652.43,29.4763,30.49,43.0130
8050000,93.00,115.34,655.87,29.0944,46.95,-3.2530
8100000,96.00,91.33,650.26,28.6038,52.47,21.6960
8150000,94.00,98.24,658.25,27.0358,39.15,14.5850
8200000,95.00,85.21,615.41,28.4330,35.80,23.8310
8250000,97.00,66.33,640.77,27.7315,36.71,46.2470
8300000,93.00,136.05,656.38,25.7289,69.22,-23.9120
8350000,95.00,103.89,636.45,27.2346,55.46,7.2550
8400000,88.00,168.68,697.65,21.9091,52.05,-54.9150
8450000,89.00,140.58,646.13,27.0624,31.39,-31.4670
8500000,84.00,204.60,698.12,21.9027,48.52,-92.7880
8550000,92.00,117.13,663.33,27.1620,38.27,-4.7970
8600000,97.00,82.37,651.32,26.1483,53.25,31.2620
8650000,97.00,84.44,672.20,25.4888,55.38,31.2800
8700000,95.00,135.66,642.88,25.9446,88.91,-23.8720
