TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,8.00,943.36,201.13,0.8565,16.00,-919.2470
100000,0.00,1024.00,69.95,0.0683,0.00,-1017.0050
150000,2.00,1003.62,65.10,0.3422,5.00,-996.1100
200000,0.00,1024.00,60.05,0.0586,0.00,-1017.9950
250000,0.00,1024.00,55.00,0.0537,0.00,-1018.5000
300000,0.00,1024.00,55.17,0.0539,0.00,-1018.4830
350000,0.00,1024.00,55.00,0.0537,0.00,-1018.5000
400000,31.00,713.98,237.40,2.4245,23.94,-674.7400
450000,10.00,922.54,116.57,1.3558,9.40,-905.8830
500000,10.00,922.49,123.46,1.4279,8.90,-905.1440
550000,10.00,922.39,117.65,1.4861,7.90,-905.6250
600000,7.00,952.94,116.88,1.0320,8.86,-937.7520
650000,23.00,792.37,193.37,2.1385,16.91,-761.5330
700000,4.00,983.32,84.80,0.5568,7.00,-972.8400
750000,0.00,1024.00,61.04,0.0596,0.00,-1017.8960
800000,5.00,973.19,96.88,0.7209,7.80,-961.0020
850000,3.00,993.47,89.60,0.4495,6.33,-983.0100
900000,37.00,652.96,365.60,4.2953,21.19,-597.9000
950000,4.00,983.38,84.80,0.4747,8.50,-972.9000
1000000,32.00,703.84,245.40,2.5750,23.50,-663.3000
1050000,1.00,1013.82,55.20,0.1782,6.00,-1007.8000
1100000,1.00,1013.85,61.29,0.1491,9.00,-1007.2210
1150000,2.00,1003.65,65.30,0.3110,6.50,-996.1200
1200000,15.00,871.99,121.87,1.8242,10.60,-852.3030
1250000,1.00,1013.81,55.10,0.1832,5.00,-1007.8000
1300000,1.00,1013.82,61.13,0.1757,6.00,-1007.2070
1350000,0.00,1024.00,55.00,0.0537,0.00,-1018.5000
1400000,14.00,883.01,169.73,1.2684,16.93,-859.0370
1450000,2.00,1003.65,61.23,0.2822,6.50,-996.5270
1500000,2.00,1003.63,55.50,0.3078,5.50,-997.0800
1550000,3.00,993.47,65.20,0.4020,6.33,-985.4500
1600000,0.00,1024.00,55.00,0.0537,0.00,-1018.5000
1650000,3.00,993.46,65.35,0.4366,6.00,-985.4250
1700000,7.00,952.89,84.80,0.8318,8.14,-940.9100
1750000,0.00,1024.00,85.00,0.0830,0.00,-1015.5000
1800000,10.00,922.46,84.95,1.1088,8.60,-908.9650
1850000,7.00,952.95,85.00,0.7483,9.00,-940.9500
1900000,4.00,983.43,85.15,0.4475,9.75,-972.9150
1950000,6.00,963.01,84.95,0.7811,7.50,-951.5150
2000000,7.00,952.96,85.07,0.7874,9.14,-940.9530
2050000,6.00,963.04,89.86,0.7544,8.00,-951.0540
2100000,1.00,1013.82,75.20,0.1977,6.00,-1005.8000
2150000,2.00,1003.64,55.30,0.2898,6.00,-997.1100
2200000,19.00,832.23,190.00,1.7875,14.68,-803.7300
2250000,1.00,1013.81,55.25,0.1933,5.00,-1007.7850
2300000,17.00,852.44,185.31,1.9927,14.82,-825.4090
2350000,21.00,811.75,129.10,2.0008,13.29,-788.3400
2400000,2.00,1003.65,55.32,0.2789,6.50,-997.1180
2450000,3.00,993.56,85.05,0.3654,9.33,-983.5550
2500000,5.00,973.15,70.62,0.6720,7.00,-963.5880
2550000,61.00,411.61,361.68,7.3062,20.08,-344.9420
2600000,32.00,702.44,204.21,2.6540,19.12,-666.0190
2650000,27.00,760.83,398.59,2.0030,49.30,-707.4710
2700000,36.00,664.14,251.46,2.7852,24.39,-620.9940
2750000,57.00,462.24,345.00,5.5097,38.46,-399.2400
2800000,7.00,952.95,86.59,0.8638,9.00,-940.7910
2850000,43.00,592.45,294.57,5.1333,20.40,-541.4930
2900000,36.00,661.62,262.43,4.3642,17.39,-617.3770
2950000,69.00,341.01,401.00,7.3451,34.16,-266.4100
3000000,25.00,773.78,208.50,2.0530,23.12,-740.4300
3050000,78.00,262.70,451.69,7.2636,47.97,-178.5310
3100000,76.00,277.77,434.54,7.8502,42.12,-196.3160
3150000,57.00,461.62,437.88,6.0388,37.37,-389.3320
3200000,51.00,524.53,449.34,5.1441,44.65,-454.0960
3250000,48.00,552.50,444.75,4.9532,41.71,-484.0250
3300000,43.00,592.83,306.23,4.8931,21.28,-540.7070
3350000,52.00,504.32,406.70,6.1053,24.62,-437.6500
3400000,54.00,491.24,396.61,5.3319,37.41,-424.5790
3450000,37.00,651.60,289.90,4.6362,17.51,-604.1100
3500000,38.00,642.46,323.42,4.5309,19.95,-591.1180
3550000,22.00,803.31,255.73,1.8822,20.86,-766.7370
3600000,52.00,513.39,437.45,5.1761,42.06,-443.6450
3650000,65.00,391.10,474.65,6.0184,50.31,-311.1350
3700000,33.00,691.98,421.11,4.1767,17.88,-633.3690
3750000,53.00,495.60,403.45,5.6598,27.02,-428.7550
3800000,50.00,523.39,393.61,5.9553,22.78,-459.0290
3850000,49.00,536.73,495.80,5.6303,29.57,-462.6500
3900000,64.00,388.69,385.30,6.8347,31.33,-318.1600
3950000,40.00,634.11,424.10,3.9400,49.27,-571.7000
4000000,48.00,541.70,376.68,5.6510,19.21,-480.0320
4050000,45.00,574.10,383.84,4.9805,24.22,-513.2160
4100000,43.00,591.04,371.50,5.4301,17.12,-532.3900
4150000,46.00,565.76,334.84,4.9850,27.83,-509.2760
4200000,38.00,642.58,247.45,4.1764,20.26,-598.8350
4250000,50.00,523.91,317.43,5.6816,23.82,-467.1670
4300000,48.00,547.46,427.63,5.0093,31.21,-480.6970
4350000,37.00,650.75,279.70,4.7468,15.22,-604.2800
4400000,46.00,564.83,385.82,5.2982,25.80,-503.2480
4450000,50.00,534.08,473.38,5.0425,44.16,-461.7420
4500000,56.00,475.10,462.10,5.6220,43.82,-400.8900
4550000,56.00,475.16,411.11,5.3541,43.93,-406.0490
4600000,40.00,622.88,345.08,4.4726,21.20,-568.3720
4650000,57.00,465.96,542.25,6.0743,44.98,-383.2350
4700000,72.00,320.99,457.95,6.8743,47.60,-239.1950
4750000,78.00,271.21,523.19,7.0220,58.88,-179.8910
4800000,43.00,596.82,386.45,4.9598,30.56,-536.6750
4850000,55.00,483.82,380.89,5.5544,41.85,-418.2310
4900000,62.00,414.65,488.51,6.2764,41.18,-334.7990
4950000,56.00,470.75,391.34,5.6692,36.05,-403.6160
5000000,75.00,292.35,477.53,7.0939,48.47,-207.0970
5050000,80.00,238.43,398.71,7.6703,42.04,-158.5590
5100000,66.00,375.77,419.24,6.7923,41.83,-300.8460
5150000,59.00,447.53,538.44,6.2273,46.93,-364.1860
5200000,41.00,615.83,392.02,4.8154,28.46,-556.1280
5250000,56.00,468.89,388.02,5.6827,32.73,-402.0880
5300000,61.00,419.74,430.34,6.3744,33.41,-346.2060
5350000,69.00,335.25,356.22,8.0198,25.81,-265.1280
5400000,46.00,570.99,400.52,4.8704,39.20,-507.9380
5450000,67.00,362.37,425.45,6.9903,36.49,-286.3250
5500000,62.00,408.73,407.25,6.8254,31.63,-337.0050
5550000,61.00,423.57,435.25,6.0718,39.69,-349.5450
5600000,29.00,732.06,302.51,3.6768,17.31,-687.3090
5650000,38.00,642.57,312.53,4.5005,20.24,-592.3170
5700000,45.00,573.10,326.21,4.9298,22.00,-517.9790
5750000,58.00,448.11,447.47,6.2892,31.09,-374.3630
5800000,29.00,731.60,408.14,3.8918,15.72,-676.2860
5850000,49.00,543.95,405.27,4.8894,44.31,-478.9230
5900000,56.00,478.51,557.93,5.7416,49.91,-394.7170
5950000,66.00,378.91,460.26,6.5645,46.59,-299.8840
6000000,49.00,537.83,387.10,5.3090,31.82,-474.6200
6050000,41.00,630.33,472.26,2.7082,63.83,-562.6040
6100000,52.00,516.38,510.97,5.2968,47.81,-439.2830
6150000,32.00,706.09,262.47,2.4264,30.53,-663.8430
6200000,62.00,410.22,409.04,6.5878,34.03,-338.3160
6250000,58.00,445.99,364.13,6.2764,27.43,-380.5770
6300000,71.00,327.75,456.78,7.2563,43.37,-246.5720
6350000,41.00,612.63,327.06,4.9222,20.66,-559.4240
6400000,37.00,651.23,276.74,4.7042,16.51,-605.0560
6450000,65.00,386.59,510.00,6.7938,43.37,-303.0900
6500000,57.00,463.45,487.57,6.1890,40.58,-386.1930
6550000,51.00,516.49,350.04,5.6052,28.88,-455.9860
6600000,41.00,619.64,399.98,4.2924,37.76,-559.1420
6650000,46.00,565.96,333.42,4.7257,28.26,-509.6180
6700000,36.00,671.26,446.46,2.6950,44.17,-608.6140
6750000,39.00,636.79,447.45,4.2286,31.15,-572.5450
6800000,37.00,652.50,378.50,4.3167,19.95,-596.1500
6850000,64.00,390.85,465.19,6.9903,34.70,-312.3310
6900000,33.00,691.85,373.93,4.0427,17.48,-637.9570
6950000,37.00,653.97,386.08,4.2881,23.92,-596.8620
7000000,56.00,465.47,348.16,6.1092,26.62,-402.6540
7050000,27.00,751.11,177.09,3.3757,13.30,-719.9010
7100000,34.00,681.80,271.33,4.1402,17.53,-637.6670
7150000,70.00,342.78,487.37,6.8623,50.83,-259.0430
7200000,64.00,400.69,458.90,5.9601,50.08,-322.8000
7250000,40.00,626.51,360.31,4.3023,30.27,-570.4790
7300000,66.00,370.03,383.75,6.6337,33.14,-298.6550
7350000,60.00,438.77,364.08,5.1640,48.62,-372.3620
7400000,59.00,448.87,516.94,5.6020,49.20,-367.6760
7450000,48.00,550.88,472.32,4.7618,38.33,-479.6480
7500000,27.00,752.14,203.13,3.0188,17.11,-718.3270
7550000,35.00,683.64,425.24,3.4210,51.54,-623.6160
7600000,61.00,435.48,521.40,5.5211,59.21,-352.8400
7650000,40.00,628.59,397.38,4.5584,35.48,-568.8520
7700000,17.00,852.56,289.03,2.3104,15.53,-815.1570
7750000,41.00,611.13,214.03,4.8239,17.00,-569.2270
7800000,27.00,752.63,292.35,3.2880,18.93,-709.8950
7850000,46.00,565.13,371.77,5.2095,26.46,-504.9530
7900000,48.00,545.19,341.52,5.1649,26.48,-487.0380
7950000,65.00,380.14,366.96,6.7143,33.45,-310.9440
8000000,54.00,486.65,371.52,5.6374,28.91,-422.4980
8050000,63.00,399.95,323.12,6.1004,33.44,-336.1380
8100000,22.00,802.18,283.04,2.9021,15.73,-762.8760
8150000,49.00,536.68,337.78,5.1976,29.47,-478.4020
8200000,45.00,575.20,375.98,4.7894,26.67,-515.1020
8250000,44.00,587.70,515.17,4.9107,32.41,-514.1830
8300000,55.00,476.56,435.39,5.9896,28.65,-405.5210
8350000,59.00,444.70,452.62,6.0661,42.14,-369.9380
8400000,63.00,403.35,437.23,6.3700,38.84,-328.1270
8450000,44.00,586.94,401.01,4.9168,30.68,-524.8390
8500000,54.00,495.35,515.06,5.2199,45.02,-416.8440
8550000,23.00,791.94,223.59,2.9279,15.04,-758.0810
8600000,59.00,435.04,407.42,6.4277,25.76,-364.7980
8650000,62.00,414.32,440.00,6.1945,40.65,-339.3200
8700000,26.00,763.41,424.11,3.2080,21.73,-707.9990
8750000,49.00,535.73,436.38,5.0838,27.53,-467.5920
8800000,49.00,536.22,317.11,5.1074,28.53,-480.0090
8850000,64.00,388.26,393.66,7.1828,30.66,-316.8940
8900000,53.00,496.06,457.14,5.7319,27.89,-423.8460
8950000,54.00,492.35,428.38,5.3303,39.46,-422.5120
9000000,52.00,507.93,338.00,5.2786,31.56,-448.1300
9050000,61.00,418.41,414.56,6.8590,31.23,-346.4540
9100000,62.00,407.70,399.69,6.9083,29.97,-336.7310
9150000,43.00,593.57,274.28,4.6269,23.00,-544.6420
9200000,50.00,524.55,438.59,5.6649,25.10,-455.6910
9250000,39.00,633.21,275.88,4.3083,21.97,-586.1220
9300000,54.00,488.68,336.93,5.2064,32.67,-427.9870
9350000,54.00,482.89,399.92,6.1743,21.94,-415.8980
9400000,63.00,405.95,407.90,5.7000,42.97,-333.6600
9450000,50.00,524.35,400.93,5.6990,24.70,-459.2570
9500000,56.00,474.04,460.16,5.3489,41.93,-400.0240
9550000,53.00,492.42,328.09,6.1377,21.02,-433.1110
9600000,42.00,602.97,447.08,4.9852,21.55,-537.2620
9650000,59.00,448.21,469.39,5.7410,48.08,-371.7710
9700000,36.00,665.77,489.62,4.1280,28.92,-598.8080
9750000,42.00,608.32,352.57,4.3032,34.29,-552.0630
9800000,56.00,473.23,425.91,5.4507,40.48,-402.6390
9850000,43.00,595.98,438.11,4.7845,28.60,-530.6690
9900000,53.00,497.39,428.93,6.0184,30.40,-427.9970
9950000,26.00,763.06,258.68,2.8692,20.38,-724.1920
