TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,1.00,2027.71,182.05,0.1556,19.00,-2009.0050
100000,0.00,2048.00,67.00,0.0327,0.00,-2041.3000
150000,0.00,2048.00,67.00,0.0327,0.00,-2041.3000
200000,6.00,1926.32,243.56,0.7068,20.00,-1898.9640
250000,15.00,1744.51,303.12,1.6779,24.73,-1706.6980
300000,6.00,1926.74,311.49,0.7341,27.00,-1892.5910
350000,7.00,1906.83,311.76,0.7804,31.29,-1872.1540
400000,1.00,2027.68,123.05,0.1395,16.00,-2014.8750
450000,6.00,1927.09,309.87,0.6763,32.83,-1893.1030
500000,3.00,1987.19,352.36,0.5055,21.00,-1950.4540
550000,6.00,1927.88,342.71,0.6468,46.00,-1890.6090
600000,16.00,1730.26,454.30,1.2467,62.12,-1676.8300
650000,15.00,1751.58,737.45,1.6110,71.87,-1670.3350
700000,16.00,1727.39,716.31,1.8853,44.19,-1647.7590
750000,14.00,1768.59,722.92,1.6994,52.21,-1689.2980
800000,8.00,1885.96,388.43,1.1013,22.50,-1843.1170
850000,3.00,1987.10,316.54,0.4968,18.00,-1953.9460
900000,3.00,1987.08,316.44,0.5120,17.33,-1953.9360
950000,5.00,1946.78,241.61,0.5398,23.60,-1920.1190
1000000,4.00,1967.05,241.01,0.3976,24.25,-1940.9490
1050000,12.00,1808.95,742.62,1.4452,55.92,-1728.6880
1100000,10.00,1845.71,392.21,1.3059,25.10,-1801.4890
1150000,22.00,1608.85,702.30,2.4464,51.86,-1527.6200
1200000,5.00,1946.96,396.65,0.7328,27.20,-1904.7950
1250000,11.00,1825.04,383.61,1.4549,21.09,-1781.1790
1300000,6.00,1926.32,389.40,0.8775,20.00,-1884.3800
1350000,12.00,1810.42,742.92,1.3723,68.17,-1730.1280
1400000,6.00,1926.65,393.72,0.8635,25.50,-1884.2780
1450000,4.00,1966.99,212.37,0.4492,22.75,-1943.7530
1500000,4.00,1966.78,346.52,0.6307,17.50,-1930.1280
1550000,7.00,1906.47,394.02,0.9579,26.14,-1863.5680
1600000,6.00,1926.47,260.17,0.6583,22.50,-1897.4530
1650000,4.00,1966.59,338.34,0.6508,12.75,-1930.7560
1700000,6.00,1926.27,391.85,0.8879,19.17,-1884.0850
1750000,4.00,1967.14,318.74,0.5594,26.50,-1933.2660
1800000,4.00,1966.88,316.17,0.6007,20.00,-1933.2630
1850000,4.00,1966.73,349.34,0.6549,16.25,-1929.7960
1900000,7.00,1906.00,389.38,1.0016,19.43,-1863.5620
1950000,8.00,1885.91,344.91,1.0702,21.88,-1847.4190
2000000,10.00,1845.19,390.52,1.3540,19.90,-1801.1380
2050000,15.00,1743.99,378.12,1.9302,21.27,-1698.6780
2100000,7.00,1905.87,392.53,1.0144,17.57,-1863.1170
2150000,6.00,1926.63,399.07,0.8673,25.17,-1883.7230
2200000,13.00,1784.30,383.46,1.7193,19.54,-1739.4540
2250000,7.00,1906.11,396.33,1.0025,21.00,-1862.9770
2300000,6.00,1926.25,342.55,0.8585,18.83,-1888.9950
2350000,6.00,1926.63,397.62,0.8763,25.17,-1883.8680
