TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
250000,42.00,103.18,222.29,2.9317,68.90,-59.9510
500000,32.00,108.29,220.95,2.5340,66.41,-70.1950
750000,44.00,98.48,220.31,3.2649,60.91,-54.4490
1000000,32.00,98.74,220.06,3.8767,36.56,-60.7340
1250000,30.00,103.00,220.92,3.4535,44.67,-65.9080
1500000,50.00,95.59,222.51,3.3404,63.18,-48.3390
1750000,46.00,95.27,221.04,3.4755,56.85,-50.1660
2000000,30.00,104.02,220.58,3.3416,48.07,-66.9620
2250000,34.00,99.33,219.40,4.2063,43.68,-60.3900
2500000,40.00,93.92,220.37,4.0800,42.80,-51.8830
2750000,51.00,93.15,222.61,3.4579,59.67,-45.3890
3000000,51.00,87.70,220.25,4.4904,48.98,-40.1750
3250000,34.00,96.11,218.43,4.6275,34.21,-57.2670
3500000,39.00,92.51,218.59,4.2783,37.00,-51.1510
3750000,48.00,91.83,221.73,3.8521,52.65,-45.6570
4000000,34.00,99.19,218.13,4.3495,43.26,-60.3770
4250000,45.00,92.50,220.23,4.1078,49.11,-47.9770
4500000,40.00,96.38,221.23,3.6986,48.95,-54.2570
4750000,44.00,90.61,220.31,4.1526,43.02,-46.5790
5000000,34.00,98.42,221.11,3.8052,41.00,-59.3090
