TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,59.00,144.15,221.08,3.3369,81.15,-92.5420
100000,69.00,114.91,219.15,4.6320,60.06,-58.4950
150000,79.00,97.81,219.61,5.5731,57.25,-36.3490
200000,97.00,54.56,218.54,7.1106,48.46,15.7940
250000,99.00,57.42,218.75,7.4934,56.51,13.9550
300000,99.00,38.65,213.46,11.1021,37.03,32.1960
350000,100.00,27.08,214.31,12.7733,27.08,44.3510
400000,100.00,21.86,212.39,14.5377,21.86,49.3790
450000,100.00,19.37,214.68,15.0524,19.37,52.0980
500000,100.00,16.12,214.90,17.3016,16.12,55.3700
550000,100.00,16.77,214.82,17.0485,16.77,54.7120
600000,100.00,14.27,212.41,19.6310,14.27,56.9710
650000,100.00,17.65,213.66,17.3648,17.65,53.7160
700000,100.00,17.02,215.37,16.8370,17.02,54.5170
750000,100.00,17.84,216.03,16.7085,17.84,53.7630
800000,100.00,17.55,214.65,17.0510,17.55,53.9150
850000,99.00,22.45,215.30,15.7509,20.09,48.5800
900000,100.00,19.16,214.23,16.9353,19.16,52.2630
950000,100.00,16.03,214.09,18.0499,16.03,55.3790
1000000,100.00,18.45,215.14,17.3411,18.45,53.0640
1050000,100.00,19.17,216.47,16.8900,19.17,52.4770
1100000,100.00,16.61,215.16,18.0056,16.61,54.9060
1150000,100.00,15.60,215.97,18.6191,15.60,55.9970
1200000,100.00,15.54,215.35,18.3618,15.54,55.9950
1250000,100.00,14.94,214.89,19.2432,14.94,56.5490
1300000,100.00,15.14,215.62,18.6310,15.14,56.4220
1350000,100.00,16.29,217.15,18.0316,16.29,55.4250
1400000,100.00,14.94,218.03,18.0060,14.94,56.8630
1450000,100.00,14.21,218.61,18.4200,14.21,57.6510
1500000,100.00,14.09,216.83,20.0996,14.09,57.5930
1550000,100.00,14.50,217.36,19.2165,14.50,57.2360
1600000,100.00,13.35,216.67,20.1784,13.35,58.3170
1650000,100.00,13.84,217.27,19.6623,13.84,57.8870
1700000,100.00,12.86,217.75,20.5052,12.86,58.9150
1750000,100.00,12.69,218.26,20.5784,12.69,59.1360
1800000,100.00,11.93,217.07,21.7549,11.93,59.7770
1850000,100.00,11.93,216.95,21.6738,11.93,59.7650
1900000,100.00,12.76,217.30,20.3495,12.76,58.9700
1950000,100.00,13.51,218.16,18.9120,13.51,58.3060
2000000,100.00,14.06,218.99,18.6269,14.06,57.8390
2050000,100.00,13.94,218.81,18.9081,13.94,57.9410
2100000,100.00,13.13,218.57,19.1089,13.13,58.7270
2150000,100.00,13.48,219.23,19.4713,13.48,58.4430
2200000,100.00,12.87,218.90,19.3016,12.87,59.0200
