TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,24.00,81.38,116.53,2.3071,47.08,-57.7270
100000,39.00,102.85,128.34,2.4240,54.69,-70.5160
150000,68.00,69.82,126.38,3.5188,43.10,-23.1820
200000,79.00,54.55,122.90,4.0269,41.65,-2.7600
250000,92.00,35.55,114.60,5.5427,30.54,21.9100
300000,96.00,22.81,108.18,6.5091,21.07,36.0080
350000,97.00,18.12,100.57,7.9530,15.42,40.4370
400000,96.00,21.57,100.81,7.7981,16.06,36.5110
450000,98.00,13.83,99.03,9.2865,12.99,45.0730
500000,100.00,13.90,99.97,8.9819,13.90,46.0970
550000,99.00,12.92,99.67,9.2931,12.62,46.5470
600000,100.00,15.40,99.43,9.4912,15.40,44.5430
650000,100.00,16.59,103.09,9.1208,16.59,43.7190
700000,100.00,13.56,103.33,9.4388,13.56,46.7730
750000,98.00,26.03,110.09,8.6208,21.34,33.9790
800000,94.00,45.87,112.68,7.9325,32.46,12.3980
850000,97.00,43.12,114.40,7.8491,36.54,16.8200
900000,95.00,35.28,114.88,8.0980,23.66,23.7080
950000,99.00,23.48,110.59,8.6516,21.13,37.0790
1000000,100.00,16.43,105.33,9.1802,16.43,44.1030
1050000,100.00,13.18,101.55,9.8075,13.18,46.9750
1100000,100.00,18.20,110.32,8.7565,18.20,42.8320
1150000,100.00,13.45,103.65,9.7629,13.45,46.9150
1200000,100.00,12.70,103.53,9.7744,12.70,47.6530
1250000,100.00,12.19,105.47,9.8792,12.19,48.3570
1300000,100.00,12.40,105.20,9.8869,12.40,48.1200
1350000,100.00,14.92,112.58,9.3384,14.92,46.3380
1400000,100.00,12.88,113.15,9.9359,12.88,48.4350
1450000,100.00,12.46,110.71,9.9682,12.46,48.6110
1500000,100.00,13.23,111.90,9.8065,13.23,47.9600
1550000,100.00,13.61,113.73,9.8696,13.61,47.7630
1600000,100.00,16.33,122.51,9.3515,16.33,45.9210
1650000,100.00,16.61,119.35,9.2263,16.61,45.3250
1700000,100.00,14.42,117.50,9.4511,14.42,47.3300
1750000,100.00,17.31,119.67,9.1404,17.31,44.6570
1800000,100.00,18.39,120.70,8.7805,18.39,43.6800
1850000,99.00,22.61,133.19,8.4622,21.55,40.2090
1900000,100.00,26.13,138.23,8.0042,26.13,37.6930
1950000,99.00,38.45,147.60,6.7584,36.25,25.8100
2000000,100.00,30.01,145.67,7.0662,30.01,34.5570
2050000,96.00,51.62,155.03,6.1989,43.10,11.8830
2100000,94.00,67.18,171.82,4.8302,55.13,-2.9980
2150000,91.00,82.09,172.25,4.5403,64.89,-19.3650
2200000,81.00,104.99,182.32,3.8432,69.57,-46.2580
2250000,74.00,126.32,184.74,3.3604,80.76,-70.8460
2300000,69.00,133.06,192.24,3.2970,77.83,-79.3360
2350000,85.00,103.59,180.54,3.9188,76.69,-43.0360
2400000,76.00,111.55,184.28,3.8455,65.93,-55.1220
2450000,85.00,101.01,182.76,3.9896,73.66,-40.2340
2500000,78.00,117.48,189.27,3.5506,78.41,-59.5530
2550000,70.00,131.63,188.42,3.2202,78.33,-77.7880
2600000,56.00,160.74,196.28,2.6704,85.89,-113.1120
2650000,52.00,168.55,195.95,2.4024,87.83,-122.9550
2700000,61.00,153.71,199.31,2.5706,88.31,-103.2790
2750000,42.00,179.40,197.93,2.2955,73.62,-138.6070
2800000,42.00,195.03,202.43,1.9919,110.83,-153.7870
2850000,51.00,184.61,200.81,2.1414,116.02,-139.0290
2900000,48.00,186.62,204.83,1.9449,111.46,-142.1370
2950000,35.00,204.73,206.61,1.7045,109.51,-166.5690
3000000,40.00,190.13,200.61,1.9810,91.33,-150.0690
3050000,42.00,190.10,200.47,2.1799,99.10,-149.0530
3100000,26.00,220.04,208.09,1.3010,117.69,-186.2310
3150000,25.00,218.60,207.37,1.4236,106.40,-185.3630
3200000,40.00,188.89,205.25,1.8407,88.22,-148.3650
3250000,23.00,219.91,207.58,1.4487,99.09,-187.6520
3300000,22.00,222.07,208.68,1.3026,101.77,-190.2020
3350000,23.00,220.12,205.94,1.4444,100.00,-188.0260
3400000,28.00,213.16,209.36,1.4233,103.00,-178.2240
3450000,17.00,229.21,212.84,1.1916,98.41,-199.4260
3500000,17.00,232.32,209.73,1.1600,116.71,-202.8470
