TimeSteps,Reward Found %,Avg Steps,Avg Tiles,Avg Tiles Per Step,Avg Steps to Reward,Avg Score
50000,84.00,885.40,1507.15,3.0383,663.95,-692.6850
100000,86.00,776.85,1466.37,3.3482,569.92,-587.2130
150000,91.00,671.80,1372.14,3.8957,535.69,-489.0860
200000,91.00,630.07,1350.63,4.0667,489.84,-449.5070
250000,93.00,635.44,1369.96,4.0249,529.12,-451.9440
300000,93.00,537.27,1309.29,4.5766,423.56,-359.8410
350000,95.00,461.19,1272.77,4.5244,377.67,-286.4130
400000,92.00,443.99,1144.58,5.8926,304.51,-283.5320
450000,83.00,571.06,1214.27,5.3037,268.55,-408.1330
500000,88.00,547.35,1235.86,5.1477,342.72,-379.7640
550000,89.00,404.30,1037.52,7.0160,201.15,-256.0480
600000,83.00,561.48,1217.92,5.5201,257.01,-398.1880
650000,83.00,558.53,1173.61,6.0401,253.46,-399.6690
700000,87.00,498.54,1141.17,6.5267,267.01,-340.9230
750000,77.00,656.92,1205.56,5.8848,241.40,-497.8640
800000,86.00,546.29,1205.76,5.5849,301.83,-382.7140
850000,88.00,489.68,1160.65,6.4934,277.18,-329.6150
900000,84.00,559.66,1197.91,6.0916,276.17,-397.8690
950000,81.00,604.87,1210.14,6.2646,266.36,-443.3560
1000000,84.00,615.59,1229.18,5.7550,342.75,-450.6720
1050000,85.00,496.75,1090.88,7.1478,223.00,-345.1620
1100000,85.00,528.86,1172.15,6.5039,260.78,-369.1450
1150000,90.00,498.89,1211.86,6.0217,326.77,-332.7040
1200000,93.00,453.40,1176.48,6.4242,333.38,-289.2520
1250000,97.00,386.83,1100.65,7.2561,335.45,-228.2650
1300000,95.00,457.48,1160.94,6.5219,373.77,-293.8860
1350000,90.00,524.10,1184.46,5.6906,354.78,-360.6540
1400000,90.00,495.65,1168.95,6.2566,323.17,-333.7550
1450000,84.00,545.47,1108.03,7.2253,259.27,-392.6670
1500000,91.00,403.51,1111.27,6.9638,240.87,-246.8830
1550000,86.00,538.72,1154.57,7.1915,293.02,-380.2630
1600000,90.00,432.58,1136.25,7.6024,253.09,-273.9550
1650000,90.00,405.30,1056.55,8.5919,222.78,-254.6450
1700000,94.00,383.80,1131.96,7.3310,277.57,-223.6040
1750000,92.00,405.75,1101.21,7.9438,262.95,-249.6290
1800000,93.00,389.47,1108.34,7.7664,264.63,-232.1360
1850000,91.00,404.75,1098.09,8.0986,242.23,-249.4410
1900000,93.00,446.61,1211.50,6.8666,326.08,-278.9600
1950000,94.00,456.81,1162.31,6.9729,355.24,-293.5790
2000000,92.00,404.89,1079.77,8.0138,262.01,-250.9130
2050000,85.00,559.76,1145.96,7.7434,297.13,-402.6640
2100000,90.00,420.83,1086.81,8.0464,240.03,-267.1490
2150000,87.00,487.00,1065.50,8.0395,253.75,-336.9500
2200000,85.00,519.60,1096.95,8.4989,249.88,-367.4050
2250000,81.00,579.98,1149.40,7.4598,235.63,-424.5400
2300000,86.00,500.49,1090.11,8.2976,248.57,-348.4790
2350000,90.00,431.97,1065.07,8.2166,252.41,-280.4630
2400000,84.00,502.77,1061.28,8.0761,208.44,-354.6420
2450000,83.00,559.39,1116.40,7.2736,254.49,-406.2500
2500000,83.00,553.08,1108.51,8.1830,246.89,-400.7290
2550000,83.00,573.95,1176.22,6.4754,272.04,-414.8280
2600000,84.00,569.72,1141.99,7.1698,288.14,-413.5210
2650000,81.00,571.73,1096.50,7.3040,225.44,-421.5800
2700000,79.00,588.09,1091.85,7.4527,200.01,-439.4050
2750000,77.00,674.66,1123.76,7.3648,264.44,-523.7840
2800000,73.00,686.14,1071.51,7.9507,182.44,-542.4890
2850000,80.00,589.84,1058.62,7.9012,225.30,-443.9780
2900000,85.00,491.66,1061.95,8.0315,217.01,-342.9650
2950000,79.00,615.29,1032.61,8.1741,234.44,-472.5290
3000000,80.00,604.38,1101.83,7.1528,243.47,-454.1970
3050000,86.00,478.24,1004.05,9.3468,222.70,-334.8350
3100000,73.00,725.99,1183.79,6.2275,237.03,-571.1110
3150000,80.00,635.39,1186.57,6.3848,282.24,-476.7330
3200000,86.00,508.79,1011.89,8.8066,258.22,-364.6010
3250000,81.00,562.79,1074.75,8.0522,214.41,-414.8150
3300000,87.00,462.48,1055.74,8.8515,225.56,-313.4060
3350000,84.00,567.37,1170.52,6.9242,285.35,-408.3180
3400000,84.00,549.85,1118.21,7.2756,264.49,-396.0290
3450000,79.00,602.86,1135.87,7.1507,218.71,-449.7730
3500000,83.00,515.86,1047.76,7.9901,202.05,-369.5840
3550000,83.00,557.36,1095.06,7.6136,252.05,-406.3540
3600000,89.00,447.83,1089.84,8.3429,250.06,-294.3460
3650000,89.00,463.57,1139.56,7.5337,267.74,-305.1140
3700000,88.00,507.23,1190.02,7.3712,297.12,-344.2280
3750000,85.00,489.68,1094.37,8.0358,214.68,-337.7430
3800000,92.00,362.44,1054.00,8.8728,215.87,-211.0400
3850000,93.00,409.45,1078.12,8.9312,286.12,-255.1380
3900000,86.00,484.23,1076.66,8.6479,229.66,-333.5640
3950000,82.00,574.94,1176.65,7.2721,251.59,-416.2750
4000000,96.00,365.09,1091.52,8.9277,294.97,-207.9380
4050000,92.00,391.16,1072.90,9.1878,247.09,-237.8700
4100000,91.00,394.49,1072.50,8.8463,230.96,-241.7400
4150000,93.00,384.59,1110.20,7.7521,259.39,-227.0700
4200000,91.00,426.96,1140.75,8.0350,266.64,-267.3850
4250000,98.00,370.21,1220.34,6.0576,335.97,-199.1760
4300000,90.00,404.72,1077.33,8.5323,222.13,-251.9870
4350000,95.00,402.83,1152.36,6.9332,316.24,-240.0940
4400000,91.00,499.29,1182.22,6.2704,346.12,-335.5680
4450000,90.00,493.82,1110.43,7.7237,321.13,-337.7770
4500000,87.00,584.40,1237.01,5.8656,365.70,-417.1990
4550000,90.00,469.10,1093.27,7.2088,293.67,-314.7730
4600000,89.00,473.06,1039.57,8.0991,278.40,-324.6030
4650000,89.00,506.11,1143.06,7.2434,315.54,-347.3040
4700000,87.00,540.41,1200.75,6.5518,315.14,-376.8350
4750000,83.00,578.40,1142.70,6.9240,277.40,-422.6300
4800000,96.00,351.89,1022.74,8.7747,281.22,-201.6160
4850000,87.00,497.61,1111.58,7.2335,265.94,-342.9520
4900000,82.00,541.07,1067.34,7.9985,210.28,-393.3360
4950000,82.00,538.92,1060.49,7.9141,207.66,-391.8710
5000000,81.00,589.81,1085.07,7.7918,247.77,-440.8030
5050000,84.00,433.92,957.36,9.2716,126.48,-296.1840
5100000,75.00,639.31,1068.56,7.3836,169.75,-494.9540
5150000,77.00,614.08,1040.83,7.9959,185.77,-471.4970
5200000,82.00,532.61,1031.88,8.3922,199.96,-388.4220
5250000,86.00,426.55,960.49,9.3110,162.59,-287.5010
5300000,86.00,491.04,1042.37,8.3582,237.58,-343.8030
5350000,73.00,715.01,1093.71,7.3566,221.99,-569.1390
5400000,74.00,696.40,1080.20,7.9037,221.51,-551.3800
5450000,84.00,522.31,1061.14,8.4865,231.70,-374.1960
5500000,79.00,673.35,1103.75,8.0703,307.94,-523.4750
5550000,88.00,471.16,1067.65,8.1287,256.14,-320.3950
5600000,85.00,572.51,1117.94,7.6049,312.13,-418.2160
5650000,92.00,483.85,1091.53,8.6509,347.84,-328.6970
5700000,88.00,418.44,1042.08,9.2705,196.23,-270.2320
5750000,90.00,440.07,1100.70,7.9883,261.41,-285.0000
5800000,85.00,511.06,1107.13,7.7168,239.84,-357.8470
5850000,88.00,418.19,1045.72,8.2307,195.94,-269.6180
5900000,82.00,565.92,1071.59,8.3691,240.59,-417.7610
5950000,85.00,560.31,1114.55,7.2628,297.78,-406.3550
6000000,87.00,490.17,1039.24,8.1871,257.39,-342.7460
6050000,82.00,591.85,1112.66,7.2440,272.21,-439.5840
6100000,85.00,502.31,1056.88,8.1829,229.54,-354.1220
6150000,82.00,587.29,1147.09,6.3448,266.65,-431.5810
6200000,87.00,521.01,1050.89,7.7056,292.84,-372.4210
6250000,74.00,720.79,1128.72,6.8660,254.47,-570.9180
6300000,68.00,827.82,1218.15,6.0362,253.62,-672.0050
6350000,79.00,685.36,1107.74,7.3554,323.14,-535.0860
